specindices,specnames,weights
214,Tradescantia_ohiensis,0.3313801564813225
31,Bidens_frondosa,0.5286475621787542
52,Chamaecrista_fasciculata,0.38494696115140076
202,Symphyotrichum_oolentangiense,0.5038582018259368
127,Lupinus_perennis,0.48898549704510724
90,Helenium_autumnale,0.5145990274390815
59,Dalea_purpurea,0.56047241853765
138,Panicum_virgatum,0.4854687633476719
24,Asclepias_syriaca,0.06628213728262176
102,Hordeum_jubatum,0.0629616024342818
162,Rudbeckia_laciniata,0.5098509956148289
135,Oenothera_biennis,0.501269253652179
184,Solidago_ohioensis,0.6439622031328655
12,Anemone_canadensis,0.2170912156667959
8,Allium_cernuum,0.06931488808120669
7,Allium_canadense,0.45711276097330117
58,Dalea_candida,0.5610441900019824
139,Parthenium_integrifolium,0.5243732150101954
68,Echinacea_purpurea,0.6145794443694003
207,Taenidia_integerrima,0.5488490982293425
198,Symphyotrichum_lanceolatum,0.18822765280778342
50,Castilleja_coccinea,0.17432128162434707
97,Heliopsis_helianthoides,0.4704917990628163
54,Coreopsis_lanceolata,0.5097105524778329
108,Juncus_balticus,0.08219912157129272
