specindices,specnames,weights
230,Zizia_aurea,0.13136549488320826
138,Panicum_virgatum,1.0654727104806567
90,Helenium_autumnale,0.06511089133188439
194,Sporobolus_heterolepis,0.06287038971758198
150,Potentilla_arguta,1.318840041560787
126,Ludwigia_alternifolia,0.0663746878006059
21,Asclepias_incarnata,0.10088121211948503
162,Rudbeckia_laciniata,0.06319032459297304
129,Maianthemum_racemosum,0.0628263129387729
188,Sorghastrum_nutans,1.0471912495704867
215,Tridens_flavus,1.1356276426893648
202,Symphyotrichum_oolentangiense,0.0631083370747427
33,Bouteloua_curtipendula,1.4005672864412293
8,Allium_cernuum,0.06714307320842426
214,Tradescantia_ohiensis,0.0635307508228587
71,Elymus_trachycaulus,1.1552902993989602
110,Juncus_interior,0.10346848310423104
52,Chamaecrista_fasciculata,0.06488513581620892
7,Allium_canadense,0.06287459340725668
81,Gaura_biennis,0.0627697988017163
217,Tripsacum_dactyloides,0.07518018258698167
155,Ratibida_pinnata,0.07989065679661629
175,Silphium_perfoliatum,0.1787808811811093
166,Schizachyrium_scoparium,0.8481893075278464
73,Elymus_virginicus,0.6545702561460124
